Company Name,Country,email,website link,contact,coverage type,services rendered,target customers,address
A&M HEALTHCARE TRUST LIMITED,Nigeria,info@amhmo.com,https://www.amhealthcaretrust.com.ng,"08033646497, 09162788582, 08024143666","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Plot 242, Samuel Ademulegun Street, Central Business District, Abuja"
AIICO MULTISHIELD NIGERIA LIMITED,Nigeria,info@aiicomultishield.com,https://www.aiicomultishieldnigeria.com.ng,07026744353 08056744353,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Plot 2, Corporate Office Block, Anthony Village, Lagos"
ALLEANZA HEALTH MANAGEMENT LIMITED,Nigeria,info@alleanzahealth.com,https://www.alleanzahealthmanagement.com.ng,07036592835,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","8, Rasaq Balogun Street, Surulere, Lagos"
ALLY HEALTHCARE LIMITED,Nigeria,allyhealthcarelimited@gmail.com,https://www.allyhealthcare.com.ng,08148808171,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Low-Cost Community Health Management, Retail Micro-Insurance Plans, Basic Clinical Care Access","Local Retail Consumers, Informal Sector Groups, Small Scale Artisans, and Micro-SMEs","14, Alhaji Kanike Close, Off Awolowo Road, Ikoyi, Lagos"
AMAN HEALTH MAINTENANCE ORGANIZATIONS,Nigeria,info@amanhmo.com,https://www.amanhealthmaintenanceorganizations.com.ng,08100588906,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Low-Cost Community Health Management, Retail Micro-Insurance Plans, Basic Clinical Care Access","Local Retail Consumers, Informal Sector Groups, Small Scale Artisans, and Micro-SMEs","No. 3, Kafur Street, Off Inuwa Wada Road, Kaduna"
ANCHOR HMO INTERNATIONAL COMPANY LIMITED,Nigeria,info@anchorhmo.com,https://www.anchorhmointernationalcompany.com.ng,"08031230306, 07058890062, 07080601192","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Low-Cost Community Health Management, Retail Micro-Insurance Plans, Basic Clinical Care Access","Local Retail Consumers, Informal Sector Groups, Small Scale Artisans, and Micro-SMEs","Plot 492, Abogo Largema Street, Central Business District, Abuja"
ASHMED INTEGRATED HEALTH SERVICES LTD.,Nigeria,info@ashmedintegratedhealthservices.com,https://www.ashmedintegratedhealthservices.com.ng,07036035182,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Low-Cost Community Health Management, Retail Micro-Insurance Plans, Basic Clinical Care Access","Local Retail Consumers, Informal Sector Groups, Small Scale Artisans, and Micro-SMEs","No. 1, Ashmed Close, Off Nnamdi Azikiwe Expressway, Kaduna"
AVON HEALTHCARE LIMITED,Nigeria,info@avonhealthcare.com,https://avonhealthcare.com,"08102659972, 07002779800","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Premium National HMO Managed Care, Customized Corporate Plans, Executive Health Screenings","Blue-Chip Corporations, Oil & Gas Sector, Multinationals, and Premium Individuals","24B, Ikoyi Crescent, Ikoyi, Lagos"
AXA MANSARD HEALTH LIMITED,Nigeria,healthcare@axamansard.com,https://axamansard.com,0700AXAMANSARD,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Premium National HMO Managed Care, Customized Corporate Plans, Executive Health Screenings","Blue-Chip Corporations, Oil & Gas Sector, Multinationals, and Premium Individuals","Plot 1412, Ahmadu Bello Way, Victoria Island, Lagos"
BASTION HEALTH LIMITED,Nigeria,Naomiduku@bastionhmo.com,https://www.bastionhealth.com.ng,0802BASTI0NHM0 08002278466,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Block A3, Plot 12, Commercial Road, Lekki Phase 1, Lagos"
BONITAS HEALTH MAINTENANCE LIMITED,Nigeria,info@bonitashmo.org,https://www.bonitashealthmaintenance.com.ng,09164113000,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","No. 5, Libreville Street, Wuse 2, Abuja"
CENTURY MEDICAID SERVICES LIMITED,Nigeria,info@centurymedicaid.org,https://www.centurymedicaidservices.com.ng,"08090235044, 09087000193, 09087000192","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","15, Joel Ogunnaike Street, GRA, Ikeja, Lagos"
CLEARLINE INTERNATIONAL LIMITED,Nigeria,info@clearlinehmo.net,https://www.clearlineinternational.com.ng,"08076490111, 08076490101, 014482520","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","290, Ikorodu Road, Anthony, Lagos"
DEFENCE HEALTH MAINTENANCE LIMITED,Nigeria,info@dhmlnigeria.com,https://www.defencehealthmaintenance.com.ng,"07037921025, 08069305886","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Military Institutional Managed Healthcare, Specialized Trauma & Veteran Care Network","Armed Forces Personnel, Veterans, Ministry of Defence Civil Servants, and Dependents","Plot 1323, Ndola Square, Wuse Zone 5, Abuja"
Delog Medical Services Ltd. (HMO),Nigeria,info@delogmedicalhmo.com,https://www.delogmedicalservices.com.ng,08128300972,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","7, Association Avenue, Ilupeju, Lagos"
DOHEEC INTERNATIONAL HEALTHCARE LIMITED HMO,Nigeria,info@doheec.com,https://www.doheecinternationalhealthcarehmo.com.ng,"09069431050, 09078945165","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Low-Cost Community Health Management, Retail Micro-Insurance Plans, Basic Clinical Care Access","Local Retail Consumers, Informal Sector Groups, Small Scale Artisans, and Micro-SMEs","No. 12, Gwani Street, Wuse Zone 4, Abuja"
