Funding Name,Description,Type,Eligibility,Deadline,States/Country/Region Covered,Funding Amount,Website,Category,Status
AI Fund in Collaboration with Google – NCAIR,Grant programme supporting Nigerian startups developing AI-based solutions.,Grant,Nigerian startups developing AI-based solutions,Closed (previous round),Nigeria,Up to ₦10 million per startup,https://ncair.nitda.gov.ng/aifund/,AI Innovation,Closed
AI Upskill Accelerator Pilot Program,U.S. Economic Development Administration funding supporting AI workforce and industry upskilling.,Grant Programme,Eligible U.S. entities implementing eligible industry-led AI upskilling activities,10 July 2026,United States,Varies by programme,https://www.eda.gov/funding/funding-opportunities,AI Innovation,Open
The Genesis Mission: Transforming Science and Engineering Through AI,U.S. Department of Energy funding supporting scientific research and innovation using artificial intelligence.,Research Grant,"Eligible universities, research organisations, companies and other eligible applicants",17 December 2026,United States,"$500,000–$16 million",https://www.grants.gov/,AI Innovation,Open
Innovate UK Frontier Artificial Intelligence Discovery,Funding supporting feasibility and discovery work involving frontier artificial intelligence.,Grant,"Eligible UK businesses, research organisations and other eligible organisations",10 June 2026,United Kingdom,Up to £2.5 million total funding,https://www.ukri.org/opportunity/,AI Innovation,Closed
Future Computing Paradigms Network Plus,UK research funding supporting collaboration and research into future computing paradigms.,Research Grant,Researchers based at eligible UK research organisations,13 October 2026,United Kingdom,£2.8 million total funding,https://www.ukri.org/opportunity/future-computing-paradigms-network-plus/,AI Innovation,Upcoming
AI Pathways To The Future,Grant programme supporting AI-related education and cooperation.,Grant,Eligible organisations applying under the relevant U.S. programme requirements,9 August 2026,Indonesia,Not stated,https://www.grants.gov/,AI Innovation,Open
Horizon Europe Digital Calls – Trustworthy Artificial Intelligence,"Horizon Europe funding supporting trustworthy artificial intelligence, data and digital technologies.",Funding Opportunity,"Eligible research organisations, universities, companies and consortium partners",15 April 2026,European Union and Horizon Europe Associated Countries,€221.8 million across related Digital call topics,https://ec.europa.eu/info/funding-tenders/opportunities/portal/,Artificial Intelligence,Closed
Horizon Europe Next-Generation AI Agents for Robotics,Research and innovation funding supporting next-generation artificial intelligence agents and robotics.,Funding Opportunity,"Eligible research organisations, universities, companies and consortium partners",15 April 2026,Europe,€38 million,https://ec.europa.eu/info/funding-tenders/opportunities/portal/,Artificial Intelligence,Closed
Horizon Europe Efficient and Compliant Access to AI,Innovation funding supporting efficient and compliant access to artificial intelligence technologies.,Funding Opportunity,"Eligible research institutions, companies and consortium partners",15 April 2026,Europe,€46.5 million,https://ec.europa.eu/info/funding-tenders/opportunities/portal/,Artificial Intelligence,Closed
European Innovation Council (EIC) Advanced Innovation Challenges,Horizon Europe challenge funding supporting breakthrough innovation and advanced technologies.,Grant,"Startups, SMEs and eligible research teams",Varies by challenge,European Union and Horizon Europe Associated Countries,Varies by challenge,https://eic.ec.europa.eu/eic-funding-opportunities_en,Artificial Intelligence,Upcoming
National Science Foundation (NSF) Artificial Intelligence Research Funding,NSF funding supporting research and innovation involving artificial intelligence.,Funding Programme,"Eligible U.S. universities, research organisations and institutions",Varies by programme,United States,Varies by NSF programme,https://www.nsf.gov/funding,Artificial Intelligence,Active
DARPA Artificial Intelligence Research Programs,DARPA supports advanced research into artificial intelligence and related technologies.,Funding Programme,"Universities, companies and eligible research institutions",Varies by programme,United States,Varies by programme,https://www.darpa.mil/work-with-us,Artificial Intelligence,Active
Google.org Artificial Intelligence Grants,Google.org provides philanthropic funding for projects using AI to address social challenges.,Funding Programme,"Nonprofits, social impact organisations and eligible partners",Varies by opportunity,Global,Varies by grant,https://www.google.org/programs/,Artificial Intelligence,Varies by opportunity
NSF AI Datasets for AI-Enabled Scientific Discovery,"Funding supporting creation, management and use of datasets for AI-enabled scientific discovery.",Research Grant,Eligible U.S. universities and research institutions,4 November 2026,United States,Varies by NSF award,https://www.nsf.gov/funding,Artificial Intelligence,Open
NSF Computer and Information Science and Engineering,"NSF funding supporting computer and information science research, including artificial intelligence.",Funding Programme,U.S.-based eligible academic institutions and research organisations,Varies by programme,United States,Varies by programme,https://www.nsf.gov/funding,Artificial Intelligence,Active
UKRI Advancing Sustainable AI Technology,Funding supporting research and development of innovative sustainable AI technologies.,Grant,Eligible UK research organisations and innovators,Expected future call,United Kingdom,"Up to £500,000 per award",https://www.ukri.org/apply-for-funding/,Artificial Intelligence,Upcoming
UKRI Next Generation AI: Explainable AI,Research funding supporting fundamental research into explainable and next-generation AI.,Research Grant,Researchers based at eligible UK research organisations,Expected future call,United Kingdom,"Up to £500,000 per award",https://www.ukri.org/apply-for-funding/,Artificial Intelligence,Upcoming
NIH Artificial Intelligence and Machine Learning Funding,Health research funding supporting applications of artificial intelligence and machine learning.,Funding Programme,"Eligible universities, research institutions and investigators",Varies by funding announcement,United States,Varies by NIH programme,https://grants.nih.gov/,Artificial Intelligence,Active
Horizon Europe: Apply AI – Science for AI Pillar,Research and innovation funding supporting advanced artificial intelligence research.,Funding Opportunity,Eligible research organisations and institutions,15 April 2026,European Union and Horizon Europe Associated Countries,€17 million,https://ec.europa.eu/info/funding-tenders/opportunities/portal/,Artificial Intelligence,Closed
UNDP Inclusive Insurance Innovation Challenge – Nigeria,"Challenge supporting innovative and inclusive insurance solutions for underserved Nigerian populations, including climate, health and MSME insurance.",Grant / Prize,"Nigerian innovators, startups, insurtechs, fintechs, insurance companies and community-based organisations with a viable insurance solution.",27 October 2025,Nigeria,₦30 million per winner; 3 winners,https://www.undp.org/nigeria/news/inclusive-insurance-innovation-challenge-nigeria,Insurance,Closed
UNDP Inclusive Insurance Challenge Fund – Ethiopia,Challenge fund supporting proof-of-concept and scaling of innovative inclusive insurance products for underserved communities in Ethiopia.,Grant / Prize,"Licensed Ethiopian insurance entities, or other organisations partnering with licensed insurance entities.",10 April 2025,Ethiopia,"$40,000 first-place prize",https://www.undp.org/ethiopia/news/call-applications-inclusive-insurance-challenge-fund,Insurance,Closed
UNDP Inclusive Insurance Innovation Challenge – Ghana,"Insurance innovation challenge supporting climate and agricultural insurance, women's financial protection, digital insurance access and inclusive insurance.",Grant / Prize,Innovators and organisations developing practical and scalable inclusive insurance solutions in Ghana.,31 May 2025,Ghana,Not publicly stated,https://www.undp.org/ghana/press-releases/undp-and-nic-launch-inclusive-insurance-innovation-challenge-safeguard-ghanas-vulnerable-communities,Insurance,Closed
UNDP Insurance Innovation Challenge – Bangladesh,"Challenge supporting innovative insurance solutions that strengthen the resilience of cottage, micro, small and medium enterprises against climate and other risks.",Grant / Challenge,Eligible organisations developing insurance solutions for CMSEs in Bangladesh.,Not publicly stated,Bangladesh,Not stated,https://www.undp.org/bangladesh/press-releases/insurance-innovation-challenge-launched-small-businesses,Insurance,Open / Programme Launched
UNDP–ICMIF Insurance Innovation Challenge,"Supports mutual and cooperative insurers to scale innovative, affordable and inclusive insurance products serving underserved households and MSMEs.",Grant,Mutual and cooperative insurers in developing economies.,28 April 2025,Developing economies,"Up to US$100,000 over two years",https://icmiffoundation.org/insurance-innovation-challenge/,Insurance,Closed – First Round
